candidate_id,config_key,mean_mse,std_mse,rmse_from_mean_mse,mean_best_n_estimators,median_best_n_estimators,mdi_rank_stability,mdi_top5_overlap,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha
22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",1458.3088011036093,432.3405084275461,38.18780958766304,535.0,547,0.9404865078383775,1.0,1,0.05,1,0.1,0.85,0.85,1.0,1.0
30,"{""colsample_bytree"":1.0,""gamma"":0.5,""learning_rate"":0.03,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",1464.1706355980218,427.69999461014424,38.26448269084559,1020.0,956,0.9195804195804197,1.0,1,0.03,5,0.5,0.85,1.0,5.0,0.1
47,"{""colsample_bytree"":1.0,""gamma"":0.1,""learning_rate"":0.01,""max_depth"":2,""min_child_weight"":5,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.7}",1475.490953947717,416.9999467140108,38.41211988354349,793.0,711,0.9594405594405597,1.0,2,0.01,5,0.1,0.7,1.0,1.0,0.0
6,"{""colsample_bytree"":0.85,""gamma"":0.5,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":3,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.85}",1481.1431392442926,449.32739550673796,38.485622500412966,432.0,431,0.9366458699528932,1.0,1,0.05,3,0.5,0.85,0.85,1.0,0.0
23,"{""colsample_bytree"":0.85,""gamma"":0.5,""learning_rate"":0.01,""max_depth"":2,""min_child_weight"":3,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.85}",1486.711708282064,382.5018437487666,38.55790072452161,776.0,771,0.9678321678321679,1.0,2,0.01,3,0.5,0.85,0.85,1.0,0.0
1,"{""colsample_bytree"":1.0,""gamma"":1.0,""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":3,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.7}",1493.0763957204967,429.8962423693771,38.640346733957976,250.6,264,0.9524475524475525,1.0,3,0.03,3,1.0,0.7,1.0,1.0,1.0
37,"{""colsample_bytree"":0.85,""gamma"":1.0,""learning_rate"":0.01,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.7}",1497.384959944107,396.7675286577915,38.696058713312226,2000.2,2205,0.9524475524475526,1.0,1,0.01,5,1.0,0.7,0.85,5.0,0.0
53,"{""colsample_bytree"":1.0,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":3,""reg_alpha"":0.0,""reg_lambda"":10.0,""subsample"":0.7}",1502.5605008669575,444.01444872703115,38.762875291533234,763.6,849,0.9506649797029235,1.0,1,0.05,3,0.1,0.7,1.0,10.0,0.0
32,"{""colsample_bytree"":0.7,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":5,""reg_alpha"":1.0,""reg_lambda"":10.0,""subsample"":0.7}",1505.8101108343667,425.2049753052561,38.804769176408804,724.0,913,0.9524475524475525,1.0,1,0.05,5,0.1,0.7,0.7,10.0,1.0
34,"{""colsample_bytree"":0.7,""gamma"":0.0,""learning_rate"":0.05,""max_depth"":2,""min_child_weight"":1,""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",1526.0745682228855,433.9204071494162,39.06500439297154,285.6,254,0.9447552447552449,1.0,2,0.05,1,0.0,0.85,0.7,5.0,0.0
